Thread ID: 2148446640
Total: 0.029698

 %self     total     self     wait    child    calls  name
  5.59      0.00     0.00     0.00     0.00        1  <Object::ActionController::Routing::RouteSet>#recognize_optimized
  5.03      0.00     0.00     0.00     0.00       95  Rack::Lint::Assertion#assert
  3.38      0.03     0.00     0.00     0.03        1  ActiveSupport::Testing::Performance::Profiler#run
  2.80      0.00     0.00     0.00     0.00      251  Hash#[]
  2.70      0.01     0.00     0.00     0.01       51  Array#each
  2.61      0.00     0.00     0.00     0.00       13  Hash#each
  2.59      0.02     0.00     0.00     0.02      101  Proc#call
  1.84      0.00     0.00     0.00     0.00      121  Regexp#match
  1.19      0.00     0.00     0.00     0.00      209  String#==
  1.13      0.00     0.00     0.00     0.00        1  Range#each
  1.11      0.00     0.00     0.00     0.00        8  Hash#delete_if
  0.98      0.00     0.00     0.00     0.00       41  Class#new
  0.92      0.03     0.00     0.00     0.03        1  ActionController::Integration::Session#process
  0.89      0.00     0.00     0.00     0.00      143  Array#[]
  0.84      0.00     0.00     0.00     0.00       12  Array#include?
  0.84      0.00     0.00     0.00     0.00       92  String#downcase
  0.82      0.00     0.00     0.00     0.00      108  Hash#default
  0.80      0.00     0.00     0.00     0.00       86  Hash#[]=
  0.77      0.00     0.00     0.00     0.00      129  Array#size
  0.77      0.00     0.00     0.00     0.00       14  Authlogic::Session::Foundation::ClassMethods#rw_config
  0.73      0.00     0.00     0.00     0.00       62  String#inspect
  0.73      0.00     0.00     0.00     0.00      121  Fixnum#+
  0.63      0.00     0.00     0.00     0.00      119  Fixnum#<
  0.63      0.00     0.00     0.00     0.00       21  ActiveSupport::BufferedLogger#buffer
  0.62      0.00     0.00     0.00     0.00       27  String#gsub
  0.61      0.00     0.00     0.00     0.00       50  Kernel#respond_to?
  0.59      0.00     0.00     0.00     0.00       98  String#[]
  0.57      0.00     0.00     0.00     0.00       14  Rack::Utils::HeaderHash#[]
  0.56      0.00     0.00     0.00     0.00        5  ActiveSupport::BufferedLogger#add
  0.55      0.01     0.00     0.00     0.01       29  Kernel#send
  0.52      0.02     0.00     0.00     0.02        7  Mutex#synchronize
  0.51      0.00     0.00     0.00     0.00        8  ActiveSupport::Callbacks::Callback#should_run_callback?
  0.51      0.01     0.00     0.00     0.01        9  ActiveSupport::Callbacks::Callback#evaluate_method
  0.50      0.00     0.00     0.00     0.00       21  String#split
  0.50      0.00     0.00     0.00     0.00        1  Kernel#method_missing
  0.48      0.00     0.00     0.00     0.00       34  Class#inheritable_attributes
  0.44      0.00     0.00     0.00     0.00       14  HashWithIndifferentAccess#convert_key
  0.43      0.00     0.00     0.00     0.00       16  Class#read_inheritable_attribute
  0.42      0.00     0.00     0.00     0.00        8  HashWithIndifferentAccess#initialize
  0.41      0.00     0.00     0.00     0.00        7  Rack::Utils::HeaderHash#[]=
  0.41      0.00     0.00     0.00     0.00       49  Kernel#class
  0.40      0.00     0.00     0.00     0.00       49  Kernel#hash
  0.40      0.00     0.00     0.00     0.00        5  IO#write
  0.40      0.01     0.00     0.00     0.01        5  ActiveSupport::Callbacks#run_callbacks
  0.40      0.00     0.00     0.00     0.00        7  Rack::Utils::HeaderHash#delete
  0.39      0.00     0.00     0.00     0.00       35  Hash#delete
  0.38      0.00     0.00     0.00     0.00       46  Module#===
  0.38      0.00     0.00     0.00     0.00        1  Rack::Lint#check_env
  0.38      0.00     0.00     0.00     0.00       45  Kernel#==
  0.38      0.00     0.00     0.00     0.00       46  <Class::Thread>#current
  0.37      0.00     0.00     0.00     0.00        2  Hash#inspect
  0.37      0.01     0.00     0.00     0.01        9  ActiveSupport::Callbacks::Callback#call
  0.35      0.00     0.00     0.00     0.00        8  HashWithIndifferentAccess#convert_value
  0.35      0.00     0.00     0.00     0.00       10  Hash#each_pair
  0.35      0.00     0.00     0.00     0.00       47  Kernel#kind_of?
  0.35      0.00     0.00     0.00     0.00       16  Array#flatten
  0.34      0.00     0.00     0.00     0.00       41  Hash#include?
  0.34      0.00     0.00     0.00     0.00       29  Symbol#to_s
  0.34      0.01     0.00     0.00     0.01        1  ActionController::Benchmarking#perform_action_without_rescue
  0.33      0.00     0.00     0.00     0.00       37  Kernel#is_a?
  0.33      0.02     0.00     0.00     0.02        1  ActionController::Session::CookieStore#call
  0.32      0.00     0.00     0.00     0.00        1  <Module::Rack::Utils>#set_cookie_header!
  0.30      0.00     0.00     0.00     0.00        6  ActiveSupport::CoreExtensions::Hash::IndifferentAccess#with_indifferent_access
  0.29      0.01     0.00     0.00     0.01        1  ActionController::Filters::InstanceMethods#run_before_filters
  0.29      0.03     0.00     0.00     0.03       15  Kernel#__send__
  0.27      0.00     0.00     0.00     0.00        5  ActiveSupport::Callbacks::CallbackChain#run
  0.26      0.00     0.00     0.00     0.00       10  HashWithIndifferentAccess#update
  0.26      0.00     0.00     0.00     0.00        1  Rack::Request#POST
  0.25      0.00     0.00     0.00     0.00        1  I18n::Backend::Base#translate
  0.23      0.00     0.00     0.00     0.00        4  ActiveSupport::Inflector#underscore
  0.23      0.00     0.00     0.00     0.00       40  Fixnum#|
  0.23      0.00     0.00     0.00     0.00       19  ActionController::Base#response
  0.23      0.00     0.00     0.00     0.00        5  ActiveSupport::BufferedLogger#auto_flush
  0.22      0.00     0.00     0.00     0.00        3  String#%
  0.22      0.00     0.00     0.00     0.00       26  Array#compact
  0.22      0.00     0.00     0.00     0.00        4  Authlogic::ActsAsAuthentic::Base::Config#rw_config
  0.21      0.00     0.00     0.00     0.00       22  <Class::Hash>#allocate
  0.20      0.00     0.00     0.00     0.00       15  ActionController::Base#request
  0.20      0.00     0.00     0.00     0.00        2  MonitorMixin#mon_exit
  0.20      0.00     0.00     0.00     0.00        4  Authlogic::Session::Scopes::InstanceMethods#build_key
  0.20      0.03     0.00     0.00     0.03        1  Rack::Lint#_call
  0.20      0.00     0.00     0.00     0.00        4  Authlogic::Session::Klass::Config#guessed_klass_name
  0.20      0.00     0.00     0.00     0.00        4  ActionController::Request#request_uri
  0.20      0.00     0.00     0.00     0.00        6  ActiveSupport::BufferedLogger#clear_buffer
  0.19      0.00     0.00     0.00     0.00       40  Fixnum#^
  0.19      0.00     0.00     0.00     0.00        5  ActionController::Request#ssl?
  0.19      0.00     0.00     0.00     0.00        1  ActionController::Base#log_processing_for_request_id
  0.19      0.00     0.00     0.00     0.00       21  <Class::Object>#allocate
  0.19      0.00     0.00     0.00     0.00        2  Rack::Request#cookies
  0.19      0.00     0.00     0.00     0.00        4  Authlogic::ActsAsAuthentic::Base::Config#first_column_to_exist
  0.19      0.00     0.00     0.00     0.00        3  ActionController::Request#query_string
  0.19      0.00     0.00     0.00     0.00        8  String#blank?
  0.19      0.00     0.00     0.00     0.00        4  Authlogic::Session::Cookies::Config#cookie_key
  0.19      0.00     0.00     0.00     0.00        1  ActionController::Base#redirect_to_without_flash
  0.19      0.01     0.00     0.00     0.01        1  <Module::Benchmark>#realtime
  0.19      0.00     0.00     0.00     0.00       21  String#to_s
  0.19      0.00     0.00     0.00     0.00       12  <Class::ActiveRecord::Base>#column_names
  0.18      0.00     0.00     0.00     0.00        1  ActionController::Response#each
  0.18      0.00     0.00     0.00     0.00        7  Kernel#dup
  0.17      0.00     0.00     0.00     0.00       10  Enumerable#any?
  0.17      0.00     0.00     0.00     0.00        2  ActionController::Request#normalize_parameters
  0.16      0.00     0.00     0.00     0.00       15  Array#join
  0.16      0.00     0.00     0.00     0.00        6  Authlogic::Session::Activation::ClassMethods#controller
  0.16      0.00     0.00     0.00     0.00        5  String#scan
  0.16      0.02     0.00     0.00     0.02        1  ActionController::Base#process_without_filters
  0.16      0.00     0.00     0.00     0.00        1  #<Module:0x1021f7220>#login_path
  0.16      0.00     0.00     0.00     0.00        2  MonitorMixin#synchronize
  0.16      0.00     0.00     0.00     0.00        4  Authlogic::Session::Password::Config#login_field
  0.16      0.00     0.00     0.00     0.00        4  Authlogic::Session::Id#build_key
  0.16      0.00     0.00     0.00     0.00        9  Kernel#to_s
  0.16      0.00     0.00     0.00     0.00        1  ActionController::Base#initialize_template_class
  0.16      0.00     0.00     0.00     0.00        1  <Module::Marshal>#dump
  0.16      0.00     0.00     0.00     0.00        3  HashWithIndifferentAccess#default
  0.15      0.00     0.00     0.00     0.00        5  ActiveSupport::BufferedLogger#info
  0.15      0.00     0.00     0.00     0.00       18  Fixnum#==
  0.15      0.00     0.00     0.00     0.00        8  String#=~
  0.15      0.00     0.00     0.00     0.00        3  ActionController::Filters::Filter#should_run_callback?
  0.14      0.00     0.00     0.00     0.00        2  ActionController::Response#content_type
  0.14      0.00     0.00     0.00     0.00        3  ActiveRecord::ConnectionAdapters::ConnectionHandler#retrieve_connection_pool
  0.14      0.00     0.00     0.00     0.00       15  Module#to_s
  0.14      0.00     0.00     0.00     0.00        6  ActiveSupport::BufferedLogger#flush
  0.14      0.00     0.00     0.00     0.00        1  <Module::I18n>#translate
  0.14      0.00     0.00     0.00     0.00        1  ActionController::Request#remote_ip
  0.14      0.00     0.00     0.00     0.00        1  Authlogic::ControllerAdapters::RailsAdapter#authenticate_with_http_basic
  0.14      0.00     0.00     0.00     0.00        5  Authlogic::Session::Activation::InstanceMethods#controller
  0.14      0.00     0.00     0.00     0.00       11  ActionController::Base#logger
  0.14      0.00     0.00     0.00     0.00        3  ActionController::Session::AbstractStore::OptionsHash#[]
  0.14      0.00     0.00     0.00     0.00        1  Authlogic::Session::Password::InstanceMethods#credentials=
  0.14      0.00     0.00     0.00     0.00       21  String#include?
  0.14      0.01     0.00     0.00     0.01        3  ActionController::Filters::BeforeFilter#call
  0.14      0.00     0.00     0.00     0.00        2  Module#extend_object
  0.14      0.00     0.00     0.00     0.00        1  Rack::Lint::InputWrapper#read
  0.14      0.00     0.00     0.00     0.00        2  <Class::Authlogic::Session::Base>#before_persisting_callback_chain
  0.13      0.00     0.00     0.00     0.00        6  Object#present?
  0.13      0.00     0.00     0.00     0.00        1  ActionController::Response#set_content_length!
  0.13      0.00     0.00     0.00     0.00        4  Authlogic::ActsAsAuthentic::Login::Config#login_field
  0.13      0.00     0.00     0.00     0.00        2  MonitorMixin#mon_enter
  0.13      0.00     0.00     0.00     0.00        1  ActionController::Base#redirect_to_full_url
  0.13      0.00     0.00     0.00     0.00        1  ActiveSupport::MessageVerifier#verify
  0.13      0.00     0.00     0.00     0.00        2  ActionController::Response#charset
  0.13      0.00     0.00     0.00     0.00        1  ActiveRecord::Errors#add
  0.13      0.00     0.00     0.00     0.00        2  <Class::ActiveRecord::ConnectionAdapters::AbstractAdapter>#checkin_callback_chain
  0.13      0.00     0.00     0.00     0.00       14  Hash#initialize
  0.13      0.00     0.00     0.00     0.00        1  ActionController::Base#log_processing_for_parameters
  0.13      0.00     0.00     0.00     0.00        3  String#interpolate_without_ruby_19_syntax
  0.13      0.00     0.00     0.00     0.00        3  ActionController::Filters::Filter#included_in_action?
  0.12      0.00     0.00     0.00     0.00       15  Array#shift
  0.12      0.01     0.00     0.00     0.01        1  ApplicationController#require_user
  0.12      0.01     0.00     0.00     0.01        1  Authlogic::Session::Persistence::InstanceMethods#persisting?
  0.12      0.00     0.00     0.00     0.00        1  ActionController::Routing::RouteSet#recognize
  0.12      0.00     0.00     0.00     0.00       14  String#+
  0.12      0.00     0.00     0.00     0.00        1  Mime::Type#=~
  0.12      0.00     0.00     0.00     0.00        4  Authlogic::ActsAsAuthentic::Base::Config#db_setup?
  0.12      0.00     0.00     0.00     0.00        4  ActionController::Session::AbstractStore::SessionHash#load_for_read!
  0.12      0.00     0.00     0.00     0.00       13  NilClass#to_s
